Course,stress_display_F3,stress_display_F4,fadiga_display,lateralization_display,stress_solutions_F3,stress_solutions_F4,fadiga_solutions,lateralization_solutions,stress_correct_F3,stress_correct_F4,fadiga,lateralization,stress_incorrect_F3,stress_incorrect_F4,fadiga_incorrect,lateralization_incorrect,imersion_display ,imersion_solutions ,imersion_correct ,imersion_incorrect ,P100_Pz_peak_display,P100_Pz_latency_display,P100_Cz_peak_display,P100_Cz_latency_display,P100_Pz_peak_solutions,P100_Pz_latency_solutions,P100_Cz_peak_solutions,P100_Cz_latency_solutions,P100_Pz_peak_correct,P100_Pz_latency_correct,P100_Cz_peak_correct,P100_Cz_latency_correct,P100_Pz_peak_incorrect,P100_Pz_latency_incorrect,P100_Cz_peak_incorrect,P100_Cz_latency_incorrect,P300_mean_Cz_display,P300_mean_Pz_display,P300_mean_Cz_solutions,P300_mean_Pz_solutions,P300_mean_Cz_correct,P300_mean_Pz_correct,P300_mean_Cz_incorrect,P300_mean_Pz_incorrect
ESEC,2.16,1.01,0.64,-0.22,2.32,4.17,1.37,0.09,2.16,1.39,1.72,-0.12,2.84,1.56,0.85,-0.17,0.46,2.30,2.10,1.13,3821.20,116.00,3207.80,116.00,NaN,NaN,-487.80,88.00,4267.3,130,4881.4,130,5721.4,104,3260.2,104,1287.60,942.46,907.37,1093.30,934.8,1060.6,-749.6,545.9
ESEC,2.89,2.28,0.95,-0.25,2.11,7.45,0.75,0.61,4.34,3.07,0.74,-0.13,1.85,1.72,0.79,-0.09,2.22,0.10,2.01,0.91,-1507.10,114.00,59.98,118.00,1307.80,96.00,3127.10,98.00,2102.4,104,1822.7,104,-3655.3,122,-4699.8,124,-2889.20,-4423.00,1552.70,205.60,9406.9,4707.4,2024,1223.3
DEI,3.03,2.36,1.26,-0.27,3.78,0.92,0.77,-0.47,1.61,0.56,2.32,-0.23,2.47,0.88,2.20,-0.29,2.18,0.64,0.58,1.91,5117.80,82.00,5864.70,84.00,4833.40,90.00,2177.70,116.00,300.3,96,1333.6,74,NaN,NaN,10926,102,3.59,-1431.20,812.98,3309.9,-1203.1,-6113.5,7719.8,21936
DEI,3.46,3.08,0.63,-0.06,6.20,6.73,0.30,0.05,7.25,7.93,0.53,0.02,1.51,1.81,3.75,0.05,1.47,1.28,2.51,6.48,4798.80,104.00,6174.30,86.00,3419.30,120.00,2802.60,88.00,6784.5,118,1633.3,116,17817,84,2189.4,82,-4194.60,3281.30,4368.40,562.54,-5114.1,-1932.4,-14094,23412
DEI,1.47,1.67,1.19,0.07,1.50,1.61,1.05,0.05,4.60,4.90,0.58,0.07,1.51,1.81,3.75,0.05,0.66,0.48,1.53,6.48,7129.30,102.00,6003.20,102.00,22752.00,126.00,20669.00,126.00,2972.2,116,3441.2,116,17817,84,2189.4,82,2878.00,6227.50,4357.80,3515.7,-2004.6,-3474.7,-14094,23412
DEI,1.93,4.76,0.88,0.39,1.36,1.60,1.12,0.00,7.09,8.32,1.01,0.07,1.51,1.81,3.75,0.05,23.54,1.34,4.70,6.48,,0.00,4378.80,92.00,2365.20,74.00,6944.40,120.00,5092.6,104,1403,100,17817,84,2189.4,82,-1932.90,7686.20,1125.00,686.92,562.78,3961.5,-14094,23412
DEI,2.32,2.45,0.51,0.02,4.97,4.67,0.68,-0.04,1.70,1.50,1.43,-0.06,5.14,7.91,0.71,0.21,0.60,2.65,1.12,4.19,1410.40,124.00,4313.40,124.00,1644.70,116.00,709.75,116.00,4085.9,106,1672.7,108,-3259.4,112,679.95,112,4140.20,20.08,1167.90,1471.5,-1609.1,3597.2,-10720,-15886
DEI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2460.30,102.00,-3413.20,102.00,6877.30,84.00,6184.80,86.00,-2946.2,100,-3620.4,102,4981.2,106,-1291.1,106,-2387.50,-2776.70,987.28,-1121.4,-7260.3,-7421.9,-15018,-11380
DEI,1.54,1.65,1.38,0.00,2.03,2.09,0.90,-0.02,1.69,1.87,0.75,0.00,3.66,3.80,0.57,0.02,1.53,0.97,0.29,1.10,1332.50,116.00,2456.10,116.00,2340.30,116.00,2512.30,116.00,7952.9,118,6923.5,118,8112.6,104,9361.1,104,-2013.30,-3367.40,1007.10,361.62,7662.5,8124.5,-1792.4,-2514.7
DEI,6.52,7.98,0.32,0.13,1.30,1.24,0.82,0.02,2.46,2.47,0.62,0.02,3.66,3.80,0.57,0.02,1.08,0.03,0.45,1.10,281.93,114.00,1738.90,116.00,863.28,104.00,1662.40,104.00,3618.2,116,2887.4,116,8112.6,104,9361.1,104,4667.70,-645.74,174.99,-3626.7,-3451.4,-2497.2,-1792.4,-2514.7
DEI,1.20,0.90,0.90,0.01,1.82,1.74,1.64,0.04,3.69,4.51,0.69,0.17,1.00,1.17,1.68,0.13,0.28,1.71,1.58,0.66,-453.78,122.00,-967.49,122.00,4059.70,120.00,-66.47,82.00,-3236.3,114,-3301.7,114,10913,120,1352.9,118,1167.50,-544.12,-59.56,398.12,-12556,-11976,426.13,10240
DEI,0.82,0.81,2.52,-0.03,1.07,1.09,1.56,0.00,1.11,1.10,3.83,-0.02,1.12,1.35,1.24,0.04,1.06,0.73,3.24,0.61,5690.80,120.00,19264.00,120.00,-1402.20,112.00,-195.40,114.00,5072.9,122,3943.8,122,3262.6,84,NaN,NaN,32160.00,20860.00,5303.80,46.343,-2197.4,3837,-939.23,1324.6
DEI,28.45,0.86,0.80,-0.97,1.24,1.76,2.23,-0.02,2.04,3.12,1.60,0.13,0.94,0.37,3.76,-0.76,2.57,1.58,2.75,1.62,-3809.60,108.00,1229.90,84.00,NaN,NaN,NaN,NaN,2340.9,88,2016.5,84,997.77,126,-2261.4,122,-2016.10,-3762.80,-2104.50,-2108.1,-1869.5,-1988.3,1185.1,3190.2
DEI,3.43,3.01,0.67,-0.07,1.43,1.93,0.99,0.13,36.46,16.30,0.45,-0.49,8.13,4.27,1.64,-0.28,0.86,0.95,7.49,6.80,-6464.80,98.00,-6327.50,98.00,4334.20,128.00,5858.80,128.00,5603.3,86,4206.4,86,1047.2,88,8461.4,88,-4246.80,-7254.20,3624.70,1006.7,-4382.2,453.89,-3965.6,-6001.3
DEI,1.12,1.29,1.80,0.07,1.41,1.43,1.83,0.01,1.91,1.88,2.62,-0.09,8.13,4.27,1.64,-0.28,0.10,1.18,2.16,6.80,6112.50,128.00,6114.40,130.00,3851.80,104.00,3789.60,126.00,-6589.8,100,-2095.3,104,1047.2,88,8461.4,88,2846.10,1495.80,1668.90,606.62,-6982.3,-9277.5,-3965.6,-6001.3
DEI,0.96,0.95,1.28,-0.22,1.24,1.16,0.99,-0.15,4.76,5.34,1.09,0.06,8.13,4.27,1.64,-0.28,0.22,0.24,3.32,6.80,4132.10,114.00,4223.10,114.00,3959.20,126.00,901.27,128.00,5676.3,120,704.54,120,1047.2,88,8461.4,88,15947.00,16633.00,5929.30,8675.1,4066,1813.9,-3965.6,-6001.3
DEI,3.24,1.71,0.49,-0.21,3.08,1.35,0.71,-0.26,1.84,1.34,2.21,-0.10,7.34,3.62,1.32,-0.24,0.57,0.50,2.38,1.45,2524.20,110.00,-2493.10,78.00,5610.80,122.00,1177.90,120.00,1664.7,112,3726.4,114,5492.1,100,8502.2,100,-2995.30,-2607.40,-4296.00,1029.4,-570.06,2288.7,4891.6,-6289.4
DEI,3.77,6.35,1.05,0.20,30.79,16.55,0.32,-0.45,8.36,5.51,1.13,-0.53,6.63,7.68,0.23,-0.24,4.43,1.29,8.15,0.98,-917.52,124.00,-179.62,128.00,2357.30,102.00,-1280.50,104.00,3428.5,118,3532.3,120,5168.5,82,6341.7,86,-4170.40,-3038.90,-11086.00,-4016.3,2065.5,-74.246,1974.5,6673.6
DEI,8.71,3.01,0.74,-0.14,4.35,5.22,0.26,0.31,5.49,2.88,0.74,-0.09,6.63,7.68,0.23,-0.24,1.48,0.49,1.49,0.98,1220.20,108.00,3889.60,110.00,9752.30,102.00,7849.60,102.00,260.72,106,678.42,106,5168.5,82,6341.7,86,3317.50,2562.80,2790.20,5403.6,986.85,1432.4,1974.5,6673.6
DEI,2.31,3.04,1.67,0.18,6.34,10.45,1.18,0.31,1.01,1.45,2.35,0.24,5.64,5.84,0.61,0.09,3.25,6.08,1.37,5.10,9501.00,126.00,7374.30,92.00,10854.00,104.00,4003.80,100.00,8260,106,-2389.1,104,12316,112,17978,84,1616.30,2276.20,1808.30,-221.19,-9403,-4530.7,11937,3416
DEI,1.89,0.72,1.44,-0.58,3.68,3.21,0.41,-0.15,0.95,0.69,2.84,-0.23,3.53,2.31,1.38,-0.21,1.21,1.43,1.16,2.56,1644.90,80.00,1389.10,80.00,-644.61,114.00,3927.50,114.00,-9639.6,98,-8304,98,-10308,74,-11859,74,-1936.10,-9211.00,-3150.20,-3257.3,-3847,-9464.7,-11362,-10463
DEI,6.18,5.31,0.39,-0.06,6.44,6.02,0.99,-0.01,0.86,0.90,3.16,0.01,1.08,1.26,2.28,0.04,1.03,6.45,1.77,1.76,-2320.00,114.00,3865.80,114.00,3196.60,86.00,-37.53,82.00,1317.3,88,2256.9,90,2290.3,112,-2136.4,110,-750.66,-5143.50,-3565.30,5444.8,2165.4,1792.3,-804.3,1494.1
DEI,1.11,1.00,1.02,-0.14,1.36,3.15,1.37,-0.19,23.91,2.42,0.28,-0.88,9.20,4.34,0.17,-0.56,0.60,0.58,3.27,0.83,4238.90,90.00,2858.70,92.00,-624.32,76.00,-661.24,74.00,2606.8,80,2061.5,80,3632.2,108,2128.5,106,1195.70,7545.50,1954.10,853.92,2550.7,5105.1,-5919.8,-3564.2
DEI,1.01,1.00,6.37,-0.02,9.24,9.41,0.23,0.02,0.53,0.47,3.61,-0.05,1.92,2.02,1.59,0.01,5.50,1.13,0.88,2.28,18640.00,100.00,16598.00,98.00,4652.00,130.00,3835.40,130.00,3145.4,100,3534.5,102,-7139,84,-6933.5,86,6794.10,9040.50,-2007.60,-2572.8,9924.1,10018,-4013.7,-5292.2
DEI,6.15,4.08,3.39,-0.14,1.67,2.56,0.54,0.22,25.27,10.04,1.32,-0.46,1.62,2.13,1.26,0.15,3.47,1.17,4.33,1.53,745.83,102.00,-1747.30,104.00,-36.95,116.00,2105.80,128.00,-923.22,94,302.3,94,1997.5,108,-1153.9,108,-2637.10,1312.00,773.21,-2246,-4567.7,-3512.3,-8975.5,-3230
DEI,2.50,2.45,0.51,-0.98,1.26,1.35,0.97,-0.99,1.82,2.05,0.96,-1.00,0.38,1.99,1.33,-1.00,0.33,0.46,0.94,2.22,-16534.00,124.00,-13918.00,124.00,2058.20,112.00,51669.00,112.00,27509,100,85475,100,-8343.7,114,-98860,116,-2844.70,-12909.00,21075.00,2216.1,41708,7232.8,-17814,8749.7
ESEC,9.53,1.97,1.30,-0.71,1.68,6.81,0.56,0.48,5.34,3.55,0.50,-0.18,3.75,4.04,0.72,0.02,1.05,5.76,1.61,3.99,4063.20,114.00,4959.30,116.00,2727.40,90.00,-618.48,86.00,1526.2,86,2066.4,86,8217.1,86,-1865.9,86,4831.60,2593.90,1683.70,6107.5,-1726.1,-2661.2,4292.9,12483
ESEC,3.16,2.76,0.28,-0.09,6.04,3.68,1.56,-0.24,2.74,2.68,1.05,-0.02,3.71,3.11,0.58,-0.10,1.61,0.33,2.39,0.25,253.23,90.00,1520.80,90.00,NaN,NaN,NaN,NaN,2147.4,100,272.21,102,-5910.9,80,-5951.2,82,3955.50,5309.30,537.40,1084.4,-1402.1,-765.96,7290,3959.6
ESEC,0.92,1.07,1.25,0.20,7.92,6.91,0.38,0.03,6.62,35.97,0.53,0.63,0.64,1.26,1.47,0.31,0.23,2.26,6.48,0.15,10124.00,106.00,12803.00,104.00,3154.30,106.00,6470.20,106.00,1238.5,106,-7954.2,106,-1050.1,114,-4418.4,116,-768.24,-4367.20,3519.30,-2054.5,-4327.6,-1546.6,95.38,-5277.3
ESEC,0.91,0.98,1.35,-0.12,2.68,2.46,0.72,0.02,24.37,11.76,0.60,-0.36,0.81,1.70,3.58,0.37,0.45,1.42,0.40,1.05,5560.00,78.00,2516.80,82.00,-1214.90,126.00,4100.10,90.00,353.12,78,3105.7,126,4656.6,110,5153.4,104,-627.11,954.69,120.13,1674.7,434.01,-7011.3,4699.8,-578.36
ESEC,6.39,6.32,0.40,-0.02,3.94,3.93,0.70,-0.01,4.80,4.71,1.03,-0.01,2.22,2.21,0.91,0.00,1.56,1.65,3.96,1.12,4434.40,120.00,8631.10,120.00,996.41,116.00,1097.30,116.00,13579,130,14908,130,40618,84,32726,84,-1919.60,-3479.60,-7963.50,-4497.9,-2542,-3485.3,6985.2,13801
ESEC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
ESEC,5.36,4.81,0.72,-0.06,7.32,9.68,1.62,0.10,2.22,1.83,0.87,-0.09,2.22,2.21,0.91,0.00,2.30,5.29,1.34,1.12,-1571.10,96.00,-2948.00,90.00,4636.00,98.00,5897.60,98.00,-640.94,82,-1761.7,82,40618,84,32726,84,-1061.50,424.88,3080.50,3787.6,-7441.8,-8628.3,6985.2,13801
ESEC,10.78,6.98,0.87,-0.19,1.10,0.72,1.50,-0.11,2.99,2.30,1.78,-0.11,3.51,3.03,0.86,0.00,4.05,1.36,3.79,0.74,-2450.80,118.00,NaN,NaN,-1379.30,76.00,71.74,78.00,-2185.4,94,107.86,96,-2498.2,112,2711.3,106,-3725.60,-3565.90,1342.10,3373.3,-5291.7,-6814.6,-5396.9,-6517.1
ESEC,2.80,9.59,0.36,0.60,2.54,3.51,1.25,0.12,2.13,2.63,2.95,0.03,4.31,4.21,1.13,-0.05,1.34,2.04,5.05,4.13,7963.70,86.00,-3770.40,82.00,-2694.00,100.00,755.15,130.00,4448.1,128,5910.2,122,11185,74,9433.5,128,5349.20,3524.10,1741.40,-1809.4,-3421.2,-2184.2,-6465.4,-966.84
ESEC,,3.75,0.50,-1.00,,20.46,0.09,-1.00,,0.70,4.28,-1.00,,3.32,0.68,-1.00,0.87,1.18,1.62,5.01,1847.30,86.00,1789.40,86.00,765.89,104.00,770.89,86.00,-1782.9,94,-2239.8,94,837.36,130,-2544.4,130,1271.50,330.42,1038.50,1404.3,1450.8,1786.2,-555.48,2182.7
ESEC,4.61,4.51,0.83,0.00,2.06,1.64,0.47,-0.14,1.02,0.92,0.52,-0.05,0.86,0.66,6.60,-0.16,2.22,1.33,2.67,1.83,4017.70,100.00,6292.00,104.00,3726.30,120.00,4471.40,118.00,1571.3,100,812.41,128,-2123.6,110,92.467,110,2942.40,-3742.00,1055.50,1094.8,-1251.6,2433.8,-3192.5,-8109.7
ESEC,0.97,1.22,0.86,0.53,1.30,2.04,0.83,0.58,2.31,3.19,0.41,0.51,4.21,3.67,0.78,-0.26,0.08,0.60,0.59,1.33,6687.30,80.00,7702.20,82.00,20747.00,110.00,23708.00,110.00,3342.5,78,4297.8,76,4112.8,110,3930.8,110,-2046.50,-4180.80,-877.81,-153.35,-4516.7,-4107.5,10250,11465
ESEC,1.56,2.79,0.87,0.21,1.97,2.22,0.40,0.05,2.84,2.91,0.65,-0.13,1.59,1.49,1.85,-0.07,1.63,0.05,1.32,2.39,3150.20,118.00,1201.30,120.00,2344.60,130.00,2428.10,130.00,2894.2,106,2076.9,106,2229.1,106,2524.9,104,-460.09,455.06,1068.50,618.31,811.17,1904.8,-4615.1,-5305.7
ESEC,4.80,4.63,0.93,-0.14,3.02,4.18,0.49,0.13,2.09,2.01,1.84,-0.08,1.90,2.85,1.18,0.21,3.89,0.84,2.04,1.91,179.09,128.00,1654.50,128.00,1768.00,108.00,2132.10,108.00,116.6,76,1235.6,74,4062.4,74,2960.3,126,-658.78,-2213.90,-1365.20,-2094.1,-1933.7,-4480.9,-1463.6,-570.05
ESEC,2.93,2.31,0.61,-0.09,1.92,1.84,0.57,0.00,1.79,1.48,1.40,-0.12,0.78,0.63,3.30,-0.12,1.21,0.28,5.93,0.69,1994.60,88.00,2206.10,88.00,1809.60,92.00,2625.20,94.00,-1562.2,110,-1710,110,9653,82,5981.4,110,-830.27,-1007.70,576.69,-449.38,-4230.6,-4739.2,-2320.1,3127.2
ESEC,6.27,4.73,2.06,-0.06,9.51,16.27,0.14,0.26,1.44,1.12,3.92,-0.10,6.30,4.99,0.43,-0.18,11.46,0.60,3.88,2.74,1790.90,100.00,9056.00,102.00,-227.58,112.00,2118.70,114.00,-1313.6,78,86.067,126,2509.3,130,353.12,76,107.22,-7071.90,-362.34,-3041.6,-36972,-36394,-5636,-6273.8
ESEC,2.28,2.25,1.09,-0.01,0.84,0.93,1.51,0.06,2.45,2.94,1.05,0.00,1.39,1.08,1.85,-0.14,1.06,0.47,1.93,1.70,6263.80,108.00,3890.40,108.00,2868.80,116.00,3362.50,114.00,1633.6,122,3128.9,92,273.03,110,-1325,110,-831.14,945.25,804.68,504.27,1242.6,26.77,-1912.2,-1216
ESEC,0.87,0.86,1.72,-0.14,0.93,0.89,8.67,-0.19,0.50,0.53,1.60,-0.17,1.89,1.48,0.65,-0.25,1.59,2.98,0.61,1.64,2953.40,96.00,11449.00,96.00,-4544.30,102.00,3404.50,108.00,-11205,112,3.9743,88,55773,112,53562,118,-5234.60,7854.90,7348.80,-1570.9,-9469,-30225,79925,47948
ESEC,8.06,7.80,0.29,-0.03,0.76,0.74,5.65,-0.02,1.41,1.38,1.20,-0.02,1.69,1.76,0.73,0.01,1.63,3.77,0.93,0.08,4256.30,96.00,3686.80,96.00,16617.00,108.00,27134.00,108.00,12224,82,8075.8,96,6214.1,114,4658.4,114,-4869.20,-269.84,19069.00,2103.3,-4425.8,-5354.1,-18368,-27791
ESEC,4.94,1.14,0.85,-0.69,6.51,4.06,0.22,-0.18,5.32,6.36,0.35,0.25,1.69,1.76,0.73,0.01,4.33,1.00,0.91,0.08,6086.70,118.00,6194.20,118.00,1769.90,100.00,1584.70,100.00,870.86,118,891.41,118,6214.1,114,4658.4,114,2197.60,2023.80,1302.80,1243,1262.9,632.97,-18368,-27791
ESEC,6.02,3.69,0.66,-0.35,0.89,1.06,1.69,-0.01,1.07,2.89,0.65,0.46,1.60,5.47,2.20,0.53,0.49,1.35,0.87,3.06,1639.60,96.00,7016.90,98.00,3096.40,76.00,6240.40,76.00,-1750.1,104,-1965.8,106,330.74,100,-5169.8,104,8278.30,761.10,3622.50,209.08,-7459.1,-6469.5,-8755.5,-4085.2
